Nom_districte,Nom_barri,Descripcio_dia_setmana,Nom_mes,Dia_mes,Hora_dia,Descripcio_causa_vianant,Descripcio_tipus_vehicle,tipo_vehiculo,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Longitud,Latitud
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Junio,2,12,No,Motocicleta,Motocicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,2.163013683472538,41.38556703966149
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Junio,2,12,No,Motocicleta,Motocicleta,NHX 110,HONDA,Desconegut,A,3,2.163013683472538,41.38556703966149
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,29,21,No,Turisme,Turismo,LEON,SEAT,Blanc,B,11,2.163921666716005,41.38656796992032
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,29,21,No,Turisme,Turismo,SEBRING,CHRYSLER,Gris,B,30,2.163921666716005,41.38656796992032
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Julio,17,15,No,Motocicleta,Motocicleta,KTM 990 SUPERMOTO,KTM,Desconegut,A,3,2.163013683472538,41.38556703966149
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Julio,17,15,No,Turisme,Turismo,KARL / VIVA,OPEL,Blanc,B,7,2.163013683472538,41.38556703966149
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Noviembre,20,11,No,Autobús articulat,Autobús,NEW CITY MAN A-24GNC,CASTROSUA,Vermell,D,26,2.1632165248850237,41.385268657981904
Eixample,l'Antiga Esquerra de l'Eixample,Sábado,Enero,5,23,No,Motocicleta,Motocicleta,PEOPLE GTI,KYMCO,Negre,B,20,2.163921666716005,41.38656796992032
Eixample,l'Antiga Esquerra de l'Eixample,Sábado,Enero,5,23,No,Motocicleta,Motocicleta,UH 125,SUZUKI,Blanc,B,14,2.163921666716005,41.38656796992032
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Septiembre,6,15,No,Motocicleta,Motocicleta,LIBERTY 125 RST,PIAGGIO,Blanc,B,26,2.162535822094719,41.38552483070876
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Septiembre,6,15,No,Taxi,Taxi,LODGY,DACIA,Negre/Groc,B,35,2.162535822094719,41.38552483070876
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Diciembre,16,18,No,,,,,,,,2.1470576006275564,41.39076703032664
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Noviembre,21,11,No,"Camió rígid > 3,5 tones",Camión,FAN CF75.360,DAF-HERMANNS,Desconegut,C,23,2.1470576006275564,41.39076703032664
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Febrero,17,8,No,Motocicleta,Motocicleta,125,VESPA,Blau,Desconegut,Desconegut,2.147781659534843,41.39145857977042
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Febrero,17,8,No,Motocicleta,Motocicleta,LIBERTY,PIAGGIO,Negre,Desconegut,Desconegut,2.147781659534843,41.39145857977042
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Febrero,17,8,No,Motocicleta,Motocicleta,RV 125,SUZUKI,Blanc,Desconegut,Desconegut,2.147781659534843,41.39145857977042
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Febrero,17,8,No,Motocicleta,Motocicleta,WW125,HONDA,Vermell,Desconegut,Desconegut,2.147781659534843,41.39145857977042
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Febrero,17,8,No,Turisme,Turismo,MEGANE COU,RENAULT,Negre,Desconegut,Desconegut,2.147781659534843,41.39145857977042
Eixample,l'Antiga Esquerra de l'Eixample,Sábado,Octubre,5,2,No,Taxi,Taxi,TOLEDO,SEAT,Negre/Groc,BTP,37,2.1481959595414164,41.39162612288901
Eixample,l'Antiga Esquerra de l'Eixample,Sábado,Octubre,5,2,No,Turisme,Turismo,ALMERA 1.8,NISSAN,Gris,B,17,2.1481959595414164,41.39162612288901
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Diciembre,16,21,No,Motocicleta,Motocicleta,MEDLEY,PIAGGIO,Negre,B,12,2.1529850520811813,41.38684719672128
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Diciembre,16,21,No,Turisme,Turismo,FIAT TIPO,FIAT,Negre/Groc,B,9,2.1529850520811813,41.38684719672128
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Marzo,26,21,No,Motocicleta,Motocicleta,NHX110WH,HONDA,Negre,A,44,2.1531423433263392,41.38668027613706
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Marzo,26,21,No,Turisme,Turismo,CLIO,RENAULT,Vermell,B,1,2.1531423433263392,41.38668027613706
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Julio,4,7,No,Autobús,Autobús,CITYCLASS 18 31,IRISBUS,Vermell,D,9,2.152991386930917,41.38684751357695
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Febrero,19,20,No,Autobús,Autobús,Desconegut,CASTROSUA,Vermell,D,5,2.153354537831353,41.387121309464
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Febrero,19,20,No,Turisme,Turismo,X1,BMW,Negre/Groc,B,38,2.153354537831353,41.387121309464
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Enero,16,21,No,Motocicleta,Motocicleta,CITYSTAR,PEUGEOT,Blau,B,18,2.153845437026295,41.38735758206487
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Enero,16,21,No,Motocicleta,Motocicleta,SH 125,HONDA,Blanc,B,10,2.153845437026295,41.38735758206487
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Enero,10,19,No,Motocicleta,Motocicleta,SES 125,HONDA,Blau,B,22,2.1549810857360545,41.38820667996386
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Enero,10,19,No,Turisme,Turismo,A3,AUDI,Gris,Desconegut,Desconegut,2.1549810857360545,41.38820667996386
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Noviembre,5,18,No,Motocicleta,Motocicleta,YP400R,YAMAHA,Desconegut,A2,1,2.1549810857360545,41.38820667996386
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Noviembre,5,18,No,Turisme,Turismo,A4 LIMOUSINE,AUDI,Negre,B,24,2.1549810857360545,41.38820667996386
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Noviembre,21,9,No,Motocicleta,Motocicleta,CB500FA,HONDA,Taronja,A2,2,2.15584197177404,41.388727142311645
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Noviembre,21,9,No,Motocicleta,Motocicleta,XP500,YAMAHA,Negre,A2,4,2.15584197177404,41.388727142311645
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Marzo,8,20,Sí,Bicicleta,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,2.1561152589697,41.38906116021855
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Abril,18,14,No,Motocicleta,Motocicleta,YP125R,YAMAHA,Negre,B,9,2.1561152589697,41.38906116021855
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Abril,18,14,No,Tot terreny,Turismo,JIMNY,SUZUKI,Negre,B,24,2.1561152589697,41.38906116021855
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Junio,6,7,No,Motocicleta,Motocicleta,LIKE 125,KYMCO,Negre,A,36,2.1561152589697,41.38906116021855
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Junio,6,7,No,Turisme,Turismo,TOYOTA PRIUS PLUS,TOYOTA,Groc,B,36,2.1561152589697,41.38906116021855
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Marzo,19,13,No,"Camió rígid <= 3,5 tones",Camión,DOBLO,FIAT,Blanc,B,28,2.1561152589697,41.38906116021855
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Marzo,19,13,No,Motocicleta,Motocicleta,PCX,HONDA,Negre,B,2,2.1561152589697,41.38906116021855
Eixample,l'Antiga Esquerra de l'Eixample,Sábado,Febrero,2,13,No,Ciclomotor,Ciclomotor,SH 50,HONDA,Blau,Llicència,33,2.156914138989907,41.38953143881177
Eixample,l'Antiga Esquerra de l'Eixample,Sábado,Febrero,2,13,No,Motocicleta,Motocicleta,XV535,YAMAHA,Groc,A1,42,2.156914138989907,41.38953143881177
Eixample,l'Antiga Esquerra de l'Eixample,Sábado,Febrero,2,13,No,Turisme,Turismo,LEON,SEAT,Gris,Desconegut,Desconegut,2.156914138989907,41.38953143881177
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Noviembre,5,12,No,Furgoneta,Furgoneta,JUMPER FT33 L2H2,CITROEN,Blanc,Desconegut,Desconegut,2.1580967580084844,41.39042642746343
